Time(ms),distanceDAM_RTState(m),RedLat(degree),RedLon(degree),RedAlt(m),RedYaw(degree),RedPitch(degree),RedRoll(degree),RedSpeedAir(km/h),RedFlyOverLoad,MissileLat(degree),MissileLon(degree),MissileAlt(m),MissileYaw(degree),MissilePitch(degree),MissileRoll(degree),MissileSpeedAir(km/h),MissileType,RedFlyOverLoadX,RedFlyOverLoadY,RedFlyOverLoadZ,distanceFF(m),AA,AA,AA,AA,RedPlatAttackAngle(degree),RedFlySideslipAng(degree),strickenFlag,damageFlag,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,synAngRat(degree/s),thetaAngRat(degree/s),phiAngRat(degree/s),synAng_Acc(degree/s^2),thetaAng_Acc(degree/s^2),phiAng_Acc(degree/s^2),PlatOverLoadX,PlatOverLoadY,PlatOverLoadZ,coeT,AA,AA,ViewValid,TrackingState,HitState,OPDrms,AA,AA,TargetLatFake(degree),TargetLonFake(degree),TargetAltFake(m),ladarType
200,600.000,39.994604,100.000000,1000.000,359.999,0.088,-0.024,277.755,0.89,40.000000,100.000000,1000.000,180,-0.016,0,153.605,0,-0.119656,-3.80E-05,0.882235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.119656,-3.80E-05,0.882235,1,0,0,0,0,0,0,0,0,40.000000,100.000000,1000.000,2
210,600.000,39.994604,100.000000,1000.000,359.999,0.096,-0.027,277.743,0.898,40.000000,100.000000,1000.000,180,-0.017,0,153.651,0,-0.123868,-6.13E-05,0.889135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.123868,-6.13E-05,0.889135,1,0,0,0,0,0,0,0,0,40.000000,100.000000,1000.000,2
220,600.000,39.994604,100.000000,1000.000,359.999,0.103,-0.029,277.73,0.9,40.000000,100.000000,1000.000,180,-0.018,0,153.698,0,-0.125559,-8.27E-05,0.890885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.125559,-8.27E-05,0.890885,1,0,0,0,0,0,0,0,0,40.000000,100.000000,1000.000,2
230,600.000,39.994604,100.000000,1000.000,359.999,0.111,-0.032,277.718,0.901,40.000000,100.000000,1000.000,180,-0.02,0,153.745,0,-0.126994,-0.000102288,0.891828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.126994,-0.000102288,0.891828,1,0,0,0,0,0,0,0,0,40.000000,100.000000,1000.000,2
240,600.000,39.994604,100.000000,1000.000,359.999,0.118,-0.035,277.704,0.906,40.000000,100.000000,1000.000,180,-0.021,0,153.792,0,-0.131368,-0.000120311,0.896817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.131368,-0.000120311,0.896817,1,0,0,0,0,0,0,0,0,40.000000,100.000000,1000.000,2
250,600.000,39.994604,100.000000,1000.000,359.999,0.125,-0.037,277.691,0.913,40.000000,100.000000,1000.000,180,-0.023,0,153.839,0,-0.135384,-0.000136807,0.90308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.135384,-0.000136807,0.90308,1,0,0,0,0,0,0,0,0,40.000000,100.000000,1000.000,2
260,600.000,39.994604,100.000000,1000.000,359.999,0.133,-0.04,277.677,0.917,40.000000,100.000000,1000.000,180,-0.024,0,153.886,0,-0.13778,-0.000151805,0.906106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.13778,-0.000151805,0.906106,1,0,0,0,0,0,0,0,0,40.000000,100.000000,1000.000,2
270,600.000,39.994604,100.000000,1000.000,359.999,0.14,-0.043,277.663,0.918,40.000000,100.000000,1000.000,180,-0.025,0,153.933,0,-0.139408,-0.000165423,0.907405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.139408,-0.000165423,0.907405,1,0,0,0,0,0,0,0,0,40.000000,100.000000,1000.000,2
280,600.000,39.994604,100.000000,1000.000,359.999,0.146,-0.046,277.649,0.922,40.000000,100.000000,1000.000,180,-0.027,0,153.98,0,-0.142194,-0.000177805,0.910951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.142194,-0.000177805,0.910951,1,0,0,0,0,0,0,0,0,40.000000,100.000000,1000.000,2
290,600.000,39.994604,100.000000,1000.000,359.999,0.153,-0.049,277.633,0.928,40.000000,100.000000,1000.000,180,-0.028,0,154.027,0,-0.149346,-0.000189013,0.916177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.149346,-0.000189013,0.916177,1,0,0,0,0,0,0,0,0,40.000000,100.000000,1000.000,2
300,600.000,39.994604,100.000000,1000.000,359.998,0.159,-0.052,277.618,0.933,40.000000,100.000000,1000.000,180,-0.03,0,154.074,0,-0.154674,-0.00019906,0.919693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.154674,-0.00019906,0.919693,1,0,0,0,0,0,0,0,0,40.000000,100.000000,1000.000,2
310,600.000,39.994604,100.000000,1000.000,359.998,0.166,-0.056,277.602,0.935,40.000000,100.000000,1000.000,180,-0.031,0,154.121,0,-0.156474,-0.000208016,0.921357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.156474,-0.000208016,0.921357,1,0,0,0,0,0,0,0,0,40.000000,100.000000,1000.000,2
320,600.000,39.994604,100.000000,1000.000,359.998,0.172,-0.059,277.586,0.938,40.000000,100.000000,1000.000,180,-0.033,0,154.168,0,-0.158784,-0.000215996,0.923967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.158784,-0.000215996,0.923967,1,0,0,0,0,0,0,0,0,40.000000,100.000000,1000.000,2
330,600.000,39.994604,100.000000,1000.000,359.998,0.178,-0.062,277.57,0.942,40.000000,100.000000,1000.000,180,-0.034,0,154.216,0,-0.161835,-0.000223065,0.928137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.161835,-0.000223065,0.928137,1,0,0,0,0,0,0,0,0,40.000000,100.000000,1000.000,2
340,600.000,39.994604,100.000000,1000.000,359.998,0.184,-0.066,277.553,0.946,40.000000,100.000000,1000.000,180,-0.035,0,154.263,0,-0.163337,-0.000229233,0.931647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.163337,-0.000229233,0.931647,1,0,0,0,0,0,0,0,0,40.000000,100.000000,1000.000,2
350,600.000,39.994604,100.000000,1000.000,359.998,0.19,-0.069,277.537,0.948,40.000000,100.000000,1000.000,180,-0.037,0,154.31,0,-0.164076,-0.000234538,0.933606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.164076,-0.000234538,0.933606,1,0,0,0,0,0,0,0,0,40.000000,100.000000,1000.000,2
360,600.000,39.994604,100.000000,1000.000,359.998,0.195,-0.072,277.52,0.95,40.000000,100.000000,1000.000,180,-0.038,0,154.357,0,-0.164906,-0.000239064,0.935703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.164906,-0.000239064,0.935703,1,0,0,0,0,0,0,0,0,40.000000,100.000000,1000.000,2
370,600.000,39.994604,100.000000,1000.000,359.998,0.201,-0.076,277.504,0.954,40.000000,100.000000,1000.000,180,-0.04,0,154.405,0,-0.166287,-0.000242874,0.938959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.166287,-0.000242874,0.938959,1,0,0,0,0,0,0,0,0,40.000000,100.000000,1000.000,2
380,600.000,39.994604,100.000000,1000.000,359.998,0.206,-0.079,277.487,0.957,40.000000,100.000000,1000.000,180,-0.041,0,154.452,0,-0.167595,-0.000245981,0.942159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.167595,-0.000245981,0.942159,1,0,0,0,0,0,0,0,0,40.000000,100.000000,1000.000,2
390,600.000,39.994604,100.000000,1000.000,359.998,0.211,-0.083,277.469,0.96,40.000000,100.000000,1000.000,180,-0.043,0,154.499,0,-0.173125,-0.000248405,0.944252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.173125,-0.000248405,0.944252,1,0,0,0,0,0,0,0,0,40.000000,100.000000,1000.000,2
400,600.000,39.994604,100.000000,1000.000,359.998,0.216,-0.086,277.451,0.963,40.000000,100.000000,1000.000,180,-0.044,0,154.547,0,-0.178478,-0.000250202,0.946063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.178478,-0.000250202,0.946063,1,0,0,0,0,0,0,0,0,40.000000,100.000000,1000.000,2
410,600.000,39.994604,100.000000,1000.000,359.998,0.221,-0.09,277.433,0.966,40.000000,100.000000,1000.000,180,-0.046,0,154.594,0,-0.184115,-0.000251428,0.948569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.184115,-0.000251428,0.948569,1,0,0,0,0,0,0,0,0,40.000000,100.000000,1000.000,2
420,600.000,39.994604,100.000000,1000.000,359.998,0.225,-0.094,277.414,0.969,40.000000,100.000000,1000.000,180,-0.047,0,154.642,0,-0.186899,-0.000252101,0.95129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.186899,-0.000252101,0.95129,1,0,0,0,0,0,0,0,0,40.000000,100.000000,1000.000,2
430,600.000,39.994604,100.000000,1000.000,359.998,0.23,-0.097,277.395,0.972,40.000000,100.000000,1000.000,180,-0.049,0,154.689,0,-0.188758,-0.000252233,0.953341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.188758,-0.000252233,0.953341,1,0,0,0,0,0,0,0,0,40.000000,100.000000,1000.000,2
440,600.000,39.994604,100.000000,1000.000,359.998,0.234,-0.101,277.376,0.974,40.000000,100.000000,1000.000,180,-0.05,0,154.737,0,-0.191277,-0.000251862,0.95499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.191277,-0.000251862,0.95499,1,0,0,0,0,0,0,0,0,40.000000,100.000000,1000.000,2
450,600.000,39.994604,100.000000,1000.000,359.998,0.239,-0.105,277.356,0.976,40.000000,100.000000,1000.000,180,-0.051,0,154.784,0,-0.1931,-0.000251031,0.957002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1931,-0.000251031,0.957002,1,0,0,0,0,0,0,0,0,40.000000,100.000000,1000.000,2
460,600.000,39.994604,100.000000,1000.000,359.998,0.243,-0.108,277.337,0.979,40.000000,100.000000,1000.000,180,-0.053,-0.001,154.832,0,-0.195024,-0.000249762,0.959284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.195024,-0.000249762,0.959284,1,0,0,0,0,0,0,0,0,40.000000,100.000000,1000.000,2
470,600.000,39.994604,100.000000,1000.000,359.998,0.247,-0.112,277.317,0.981,40.000000,100.000000,1000.000,180,-0.054,-0.001,154.879,0,-0.196739,-0.000248063,0.9612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.196739,-0.000248063,0.9612,1,0,0,0,0,0,0,0,0,40.000000,100.000000,1000.000,2
480,600.000,39.994604,100.000000,1000.000,359.998,0.251,-0.116,277.297,0.983,40.000000,100.000000,1000.000,180,-0.056,-0.001,154.927,0,-0.197091,-0.000245958,0.962719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.197091,-0.000245958,0.962719,1,0,0,0,0,0,0,0,0,40.000000,100.000000,1000.000,2
490,600.000,39.994604,100.000000,1000.000,359.998,0.255,-0.12,277.277,0.984,40.000000,100.000000,1000.000,180,-0.057,-0.001,154.975,0,-0.197484,-0.00024348,0.96436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.197484,-0.00024348,0.96436,1,0,0,0,0,0,0,0,0,40.000000,100.000000,1000.000,2
500,600.000,39.994604,100.000000,1000.000,359.997,0.258,-0.124,277.257,0.986,40.000000,100.000000,1000.000,180,-0.058,-0.001,155.022,0,-0.197972,-0.000240652,0.966251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.197972,-0.000240652,0.966251,1,0,0,0,0,0,0,0,0,40.000000,100.000000,1000.000,2
510,600.000,39.994604,100.000000,1000.000,359.997,0.262,-0.127,277.237,0.988,40.000000,100.000000,1000.000,180,-0.06,-0.001,155.07,0,-0.199508,-0.000237481,0.967982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.199508,-0.000237481,0.967982,1,0,0,0,0,0,0,0,0,40.000000,100.000000,1000.000,2
520,600.000,39.994604,100.000000,1000.000,359.997,0.265,-0.131,277.217,0.99,40.000000,100.000000,1000.000,180,-0.061,-0.001,155.118,0,-0.200858,-0.000233981,0.969379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.200858,-0.000233981,0.969379,1,0,0,0,0,0,0,0,0,40.000000,100.000000,1000.000,2
530,600.000,39.994604,100.000000,1000.000,359.997,0.269,-0.135,277.197,0.992,40.000000,100.000000,1000.000,180,-0.063,-0.001,155.166,0,-0.202175,-0.000230178,0.970747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.202175,-0.000230178,0.970747,1,0,0,0,0,0,0,0,0,40.000000,100.000000,1000.000,2
540,600.000,39.994604,100.000000,1000.000,359.997,0.272,-0.139,277.176,0.993,40.000000,100.000000,1000.000,180,-0.064,-0.001,155.213,0,-0.203551,-0.000226092,0.972288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.203551,-0.000226092,0.972288,1,0,0,0,0,0,0,0,0,40.000000,100.000000,1000.000,2
550,600.000,39.994604,100.000000,1000.000,359.997,0.275,-0.143,277.156,0.995,40.000000,100.000000,1000.000,180,-0.065,-0.001,155.261,0,-0.204879,-0.000221731,0.973791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.204879,-0.000221731,0.973791,1,0,0,0,0,0,0,0,0,40.000000,100.000000,1000.000,2
560,600.000,39.994604,100.000000,1000.000,359.997,0.279,-0.147,277.135,0.997,40.000000,100.000000,1000.000,180,-0.067,-0.001,155.309,0,-0.206063,-0.000217105,0.975056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.206063,-0.000217105,0.975056,1,0,0,0,0,0,0,0,0,40.000000,100.000000,1000.000,2
570,600.000,39.994604,100.000000,1000.000,359.997,0.282,-0.15,277.114,0.998,40.000000,100.000000,1000.000,180,-0.068,-0.001,155.357,0,-0.207179,-0.000212231,0.976225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.207179,-0.000212231,0.976225,1,0,0,0,0,0,0,0,0,40.000000,100.000000,1000.000,2
580,600.000,39.994604,100.000000,1000.000,359.997,0.285,-0.154,277.093,0.999,40.000000,100.000000,1000.000,180,-0.069,-0.001,155.405,0,-0.208317,-0.000207128,0.977489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.208317,-0.000207128,0.977489,1,0,0,0,0,0,0,0,0,40.000000,100.000000,1000.000,2
590,600.000,39.994604,100.000000,1000.000,359.997,0.287,-0.158,277.072,1.001,40.000000,100.000000,1000.000,180,-0.071,-0.001,155.453,0,-0.209434,-0.000201803,0.978768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.209434,-0.000201803,0.978768,1,0,0,0,0,0,0,0,0,40.000000,100.000000,1000.000,2
600,600.000,39.994604,100.000000,1000.000,359.997,0.29,-0.162,277.051,1.002,40.000000,100.000000,1000.000,180,-0.072,-0.001,155.501,0,-0.210083,-0.000196264,0.979892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.210083,-0.000196264,0.979892,1,0,0,0,0,0,0,0,0,40.000000,100.000000,1000.000,2
610,600.000,39.994604,100.000000,1000.000,359.997,0.293,-0.166,277.03,1.003,40.000000,100.000000,1000.000,180,-0.073,-0.001,155.549,0,-0.209591,-0.000190524,0.980902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.209591,-0.000190524,0.980902,1,0,0,0,0,0,0,0,0,40.000000,100.000000,1000.000,2
620,600.000,39.994604,100.000000,1000.000,359.997,0.296,-0.17,277.009,1.004,40.000000,100.000000,1000.000,180,-0.074,-0.001,155.597,0,-0.207486,-0.000184596,0.981948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.207486,-0.000184596,0.981948,1,0,0,0,0,0,0,0,0,40.000000,100.000000,1000.000,2
630,600.000,39.994604,100.000000,1000.000,359.997,0.298,-0.173,276.989,1.004,40.000000,100.000000,1000.000,180,-0.076,-0.001,155.645,0,-0.205408,-0.00017849,0.983032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.205408,-0.00017849,0.983032,1,0,0,0,0,0,0,0,0,40.000000,100.000000,1000.000,2
640,600.000,39.994604,100.000000,1000.000,359.997,0.301,-0.177,276.968,1.005,40.000000,100.000000,1000.000,180,-0.077,-0.001,155.693,0,-0.203297,-0.000172212,0.984037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.203297,-0.000172212,0.984037,1,0,0,0,0,0,0,0,0,40.000000,100.000000,1000.000,2
650,600.000,39.994604,100.000000,1000.000,359.997,0.303,-0.181,276.948,1.005,40.000000,100.000000,1000.000,180,-0.078,-0.001,155.741,0,-0.201352,-0.00016577,0.984933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.201352,-0.00016577,0.984933,1,0,0,0,0,0,0,0,0,40.000000,100.000000,1000.000,2
660,600.000,39.994604,100.000000,1000.000,359.997,0.305,-0.185,276.928,1.006,40.000000,100.000000,1000.000,180,-0.079,-0.001,155.789,0,-0.199705,-0.000159175,0.985815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.199705,-0.000159175,0.985815,1,0,0,0,0,0,0,0,0,40.000000,100.000000,1000.000,2
670,600.000,39.994604,100.000000,1000.000,359.997,0.308,-0.189,276.908,1.007,40.000000,100.000000,1000.000,180,-0.081,-0.002,155.837,0,-0.20253,-0.000152435,0.986721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.20253,-0.000152435,0.986721,1,0,0,0,0,0,0,0,0,40.000000,100.000000,1000.000,2
